Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Formation,Lineup_Section,Jersey_Number,Player
8e26793d,https://fbref.com/en/matches/8e26793d/Burnley-Manchester-United-September-23-2023-Premier-League,2023-09-23,Premier League,Matchweek 6,Away,Burnley,W,2023-09-23_premier_league_burnley,Manchester Utd,4-2-3-1,Starter,24,André Onana
8e26793d,https://fbref.com/en/matches/8e26793d/Burnley-Manchester-United-September-23-2023-Premier-League,2023-09-23,Premier League,Matchweek 6,Away,Burnley,W,2023-09-23_premier_league_burnley,Manchester Utd,4-2-3-1,Starter,2,Victor Lindelöf
8e26793d,https://fbref.com/en/matches/8e26793d/Burnley-Manchester-United-September-23-2023-Premier-League,2023-09-23,Premier League,Matchweek 6,Away,Burnley,W,2023-09-23_premier_league_burnley,Manchester Utd,4-2-3-1,Starter,8,Bruno Fernandes
8e26793d,https://fbref.com/en/matches/8e26793d/Burnley-Manchester-United-September-23-2023-Premier-League,2023-09-23,Premier League,Matchweek 6,Away,Burnley,W,2023-09-23_premier_league_burnley,Manchester Utd,4-2-3-1,Starter,10,Marcus Rashford
8e26793d,https://fbref.com/en/matches/8e26793d/Burnley-Manchester-United-September-23-2023-Premier-League,2023-09-23,Premier League,Matchweek 6,Away,Burnley,W,2023-09-23_premier_league_burnley,Manchester Utd,4-2-3-1,Starter,11,Rasmus Højlund
8e26793d,https://fbref.com/en/matches/8e26793d/Burnley-Manchester-United-September-23-2023-Premier-League,2023-09-23,Premier League,Matchweek 6,Away,Burnley,W,2023-09-23_premier_league_burnley,Manchester Utd,4-2-3-1,Starter,15,Sergio Reguilón
8e26793d,https://fbref.com/en/matches/8e26793d/Burnley-Manchester-United-September-23-2023-Premier-League,2023-09-23,Premier League,Matchweek 6,Away,Burnley,W,2023-09-23_premier_league_burnley,Manchester Utd,4-2-3-1,Starter,18,Casemiro
8e26793d,https://fbref.com/en/matches/8e26793d/Burnley-Manchester-United-September-23-2023-Premier-League,2023-09-23,Premier League,Matchweek 6,Away,Burnley,W,2023-09-23_premier_league_burnley,Manchester Utd,4-2-3-1,Starter,20,Diogo Dalot
8e26793d,https://fbref.com/en/matches/8e26793d/Burnley-Manchester-United-September-23-2023-Premier-League,2023-09-23,Premier League,Matchweek 6,Away,Burnley,W,2023-09-23_premier_league_burnley,Manchester Utd,4-2-3-1,Starter,35,Jonny Evans
8e26793d,https://fbref.com/en/matches/8e26793d/Burnley-Manchester-United-September-23-2023-Premier-League,2023-09-23,Premier League,Matchweek 6,Away,Burnley,W,2023-09-23_premier_league_burnley,Manchester Utd,4-2-3-1,Starter,39,Scott McTominay
8e26793d,https://fbref.com/en/matches/8e26793d/Burnley-Manchester-United-September-23-2023-Premier-League,2023-09-23,Premier League,Matchweek 6,Away,Burnley,W,2023-09-23_premier_league_burnley,Manchester Utd,4-2-3-1,Starter,46,Hannibal Mejbri
8e26793d,https://fbref.com/en/matches/8e26793d/Burnley-Manchester-United-September-23-2023-Premier-League,2023-09-23,Premier League,Matchweek 6,Away,Burnley,W,2023-09-23_premier_league_burnley,Manchester Utd,4-2-3-1,Bench,1,Altay Bayındır
8e26793d,https://fbref.com/en/matches/8e26793d/Burnley-Manchester-United-September-23-2023-Premier-League,2023-09-23,Premier League,Matchweek 6,Away,Burnley,W,2023-09-23_premier_league_burnley,Manchester Utd,4-2-3-1,Bench,4,Sofyan Amrabat
8e26793d,https://fbref.com/en/matches/8e26793d/Burnley-Manchester-United-September-23-2023-Premier-League,2023-09-23,Premier League,Matchweek 6,Away,Burnley,W,2023-09-23_premier_league_burnley,Manchester Utd,4-2-3-1,Bench,9,Anthony Martial
8e26793d,https://fbref.com/en/matches/8e26793d/Burnley-Manchester-United-September-23-2023-Premier-League,2023-09-23,Premier League,Matchweek 6,Away,Burnley,W,2023-09-23_premier_league_burnley,Manchester Utd,4-2-3-1,Bench,14,Christian Eriksen
8e26793d,https://fbref.com/en/matches/8e26793d/Burnley-Manchester-United-September-23-2023-Premier-League,2023-09-23,Premier League,Matchweek 6,Away,Burnley,W,2023-09-23_premier_league_burnley,Manchester Utd,4-2-3-1,Bench,17,Alejandro Garnacho
8e26793d,https://fbref.com/en/matches/8e26793d/Burnley-Manchester-United-September-23-2023-Premier-League,2023-09-23,Premier League,Matchweek 6,Away,Burnley,W,2023-09-23_premier_league_burnley,Manchester Utd,4-2-3-1,Bench,19,Raphaël Varane
8e26793d,https://fbref.com/en/matches/8e26793d/Burnley-Manchester-United-September-23-2023-Premier-League,2023-09-23,Premier League,Matchweek 6,Away,Burnley,W,2023-09-23_premier_league_burnley,Manchester Utd,4-2-3-1,Bench,28,Facundo Pellistri
8e26793d,https://fbref.com/en/matches/8e26793d/Burnley-Manchester-United-September-23-2023-Premier-League,2023-09-23,Premier League,Matchweek 6,Away,Burnley,W,2023-09-23_premier_league_burnley,Manchester Utd,4-2-3-1,Bench,34,Donny van de Beek
8e26793d,https://fbref.com/en/matches/8e26793d/Burnley-Manchester-United-September-23-2023-Premier-League,2023-09-23,Premier League,Matchweek 6,Away,Burnley,W,2023-09-23_premier_league_burnley,Manchester Utd,4-2-3-1,Bench,44,Daniel Gore
