Date,start_time,Competition,Round,Day,Venue,Result,goals_for,goals_against,Opponent,possession,attendance,captain,formation,opp_formation,referee,Match_Report_URL,Match_Report,notes
2024-09-18,20:00(21:00),Champions Lg,League phase,Wed,Home,D,0,0,itInter,60,"50,922",Kevin De Bruyne,3-2-4-1,3-5-2,Glenn Nyberg,https://fbref.com/en/matches/db400f4b/Manchester-City-Internazionale-September-18-2024-Champions-League,Match Report,
2024-10-01,21:00,Champions Lg,League phase,Tue,Away,W,4,0,skSlovan Bratislava,76,"22,500",İlkay Gündoğan,4-2-3-1,4-2-3-1,Davide Massa,https://fbref.com/en/matches/c46d8356/Slovan-Bratislava-Manchester-City-October-1-2024-Champions-League,Match Report,
2024-10-23,20:00(21:00),Champions Lg,League phase,Wed,Home,W,5,0,czSparta Prague,80,"50,116",Bernardo Silva,4-1-4-1,3-4-3,Maurizio Mariani,https://fbref.com/en/matches/b192c7c9/Manchester-City-Sparta-Prague-October-23-2024-Champions-League,Match Report,
2024-11-05,20:00(21:00),Champions Lg,League phase,Tue,Away,L,1,4,ptSporting CP,73,"47,453",Bernardo Silva,4-1-4-1,3-4-3,Daniel Siebert,https://fbref.com/en/matches/342c86f6/Sporting-CP-Manchester-City-November-5-2024-Champions-League,Match Report,
2024-11-26,20:00(21:00),Champions Lg,League phase,Tue,Home,D,3,3,nlFeyenoord,64,"47,011",Bernardo Silva,4-2-3-1,4-3-3,Radu Petrescu,https://fbref.com/en/matches/552c5c03/Manchester-City-Feyenoord-November-26-2024-Champions-League,Match Report,
2024-12-11,21:00,Champions Lg,League phase,Wed,Away,L,0,2,itJuventus,69,"40,890",Kyle Walker,4-2-3-1,4-2-3-1,Clément Turpin,https://fbref.com/en/matches/10b5de7b/Juventus-Manchester-City-December-11-2024-Champions-League,Match Report,
2025-01-22,21:00,Champions Lg,League phase,Wed,Away,L,2,4,frParis Saint-Germain,37,"47,818",Kevin De Bruyne,4-2-3-1,4-3-3,Szymon Marciniak,https://fbref.com/en/matches/f60939a2/Paris-Saint-Germain-Manchester-City-January-22-2025-Champions-League,Match Report,
2025-01-29,20:00(21:00),Champions Lg,League phase,Wed,Home,W,3,1,beClub Brugge,74,"51,237",Kevin De Bruyne,4-2-3-1,4-2-3-1,Jose Maria Sánchez,https://fbref.com/en/matches/85437667/Manchester-City-Club-Brugge-January-29-2025-Champions-League,Match Report,
2025-02-11,20:00(21:00),Champions Lg,Knockout phase play-offs,Tue,Home,L,2,3,esReal Madrid,54,"52,081",Kevin De Bruyne,4-1-4-1,4-4-2,Clément Turpin,https://fbref.com/en/matches/da89a9e9/Manchester-City-Real-Madrid-February-11-2025-Champions-League,Match Report,Leg 1 of 2
2025-02-19,21:00,Champions Lg,Knockout phase play-offs,Wed,Away,L,1,3,esReal Madrid,52,"77,023",Rúben Dias,4-4-2◆,4-4-2,István Kovács,https://fbref.com/en/matches/bef7ecbf/Real-Madrid-Manchester-City-February-19-2025-Champions-League,Match Report,Leg 2 of 2; Real Madrid won
